text,iso_code,language_name,source,usage,low_confidence_flag,notes,detected_script,cleaned_text
ok,unknown,Ambiguous,Custom Augmentation,adversarial,True,Too short and common across many languages,latin,ok
okay,unknown,Ambiguous,Custom Augmentation,adversarial,True,Common across many languages,latin,okay
hi,unknown,Ambiguous,Custom Augmentation,adversarial,True,Too short,latin,hi
hello,en,English,Custom Augmentation,adversarial,False,Common English greeting,latin,hello
halo,unknown,Ambiguous,Custom Augmentation,adversarial,True,Can appear in Malay Indonesian or other languages,latin,halo
hai,unknown,Ambiguous,Custom Augmentation,adversarial,True,Can appear in Malay Indonesian or informal English,latin,hai
saya,ms,Malay,Custom Augmentation,adversarial,False,Common Malay pronoun,latin,saya
aku,id,Indonesian,Custom Augmentation,adversarial,False,Common Indonesian informal pronoun,latin,aku
makan,unknown,Ambiguous,Custom Augmentation,adversarial,True,Shared Malay and Indonesian word,latin,makan
nasi lemak,ms,Malay,Custom Augmentation,adversarial,False,Common Malay food phrase,latin,nasi lemak
bakso,id,Indonesian,Custom Augmentation,adversarial,False,Common Indonesian food word,latin,bakso
lah,ms,Malay,Custom Augmentation,adversarial,False,Common Malay discourse particle,latin,lah
dong,id,Indonesian,Custom Augmentation,adversarial,False,Common Indonesian discourse particle,latin,dong
我,zh,Chinese,Custom Augmentation,adversarial,False,Chinese character,chinese,我
你好,zh,Chinese,Custom Augmentation,adversarial,False,Chinese greeting,chinese,你 好
私は,ja,Japanese,Custom Augmentation,adversarial,False,Japanese phrase with Hiragana,japanese,私 は
です,ja,Japanese,Custom Augmentation,adversarial,False,Japanese copula,japanese,で す
ㅋㅋㅋ,ko,Korean,Custom Augmentation,adversarial,False,Korean internet laughter,korean,ᄏ ᄏ ᄏ
안녕,ko,Korean,Custom Augmentation,adversarial,False,Korean greeting,korean,안 녕
😂,unknown,Symbol Only,Custom Augmentation,adversarial,True,Emoji-only input,empty_or_symbol,
12345,unknown,Number Only,Custom Augmentation,adversarial,True,Number-only input,empty_or_symbol,
hello saya,unknown,Mixed,Custom Augmentation,adversarial,True,Mixed English Malay input,latin,hello saya
saya suka bakso,unknown,Mixed Malay Indonesian,Custom Augmentation,adversarial,True,Contains Malay Indonesian overlap,latin,saya suka bakso
我 love NLP,unknown,Mixed,Custom Augmentation,adversarial,True,Mixed Chinese English input,chinese,我 l o v e N L P
